Drug name,Disease name,Reported Effect,,
Cyclophosphamide,Pregnancy Complications,side effect,,
Cyclophosphamide,Pseudohypoparathyroidism,therapeutic effect,,
Cyclophosphamide,Pulmonary Embolism,side effect,,
Cyclophosphamide,Raynaud Disease,therapeutic effect,,
Cyclophosphamide,Retinal Vein Occlusion,side effect,,
Cyclophosphamide,Retinoblastoma,side effect,,
Cyclophosphamide,Rheumatic Fever,therapeutic effect,,
Cyclophosphamide,Rhinitis,therapeutic effect,,
Cyclophosphamide,Sarcoma,side effect,,
Cyclophosphamide,"Schizophrenia, Disorganized",therapeutic effect,,
Cyclophosphamide,Schizotypal Personality Disorder,therapeutic effect,,
Cyclophosphamide,"Shock, Cardiogenic",therapeutic effect,,
Cyclophosphamide,"Sinus Thrombosis, Intracranial",side effect,,
Cyclophosphamide,Sleep Deprivation,side effect,,
Cyclophosphamide,"Spasms, Infantile",side effect,,
Cyclophosphamide,Stevens-Johnson Syndrome,therapeutic effect,,
Cyclophosphamide,Stomach Ulcer,side effect,,
Cyclophosphamide,"Tachycardia, Supraventricular",side effect,,
Cyclophosphamide,Thromboangiitis Obliterans,side effect,,
Cyclophosphamide,Thromboembolism,therapeutic effect,,
Cyclophosphamide,Ventricular Outflow Obstruction,therapeutic effect,,
Cyclophosphamide,Vertebrobasilar Insufficiency,therapeutic effect,,
Cyclophosphamide,Vomiting,side effect,,
Cyclophosphamide,Wegener Granulomatosis,therapeutic effect,,
Cyclophosphamide,Retinal Artery Occlusion,side effect,,
Cyclophosphamide,Reperfusion Injury,therapeutic effect,,
Cyclophosphamide,Panuveitis,therapeutic effect,,
Cyclophosphamide,Miosis,therapeutic effect,,
Cyclophosphamide,"Lymphoma, T-Cell, Cutaneous",therapeutic effect,,
Cyclophosphamide,Bronchial Hyperreactivity,therapeutic effect,,
Cyclophosphamide,Panic Disorder,side effect,,
Cyclophosphamide,Antiphospholipid Syndrome,therapeutic effect,,
Cyclophosphamide,"Death, Sudden, Cardiac",therapeutic effect,,
Cyclophosphamide,Embolism and Thrombosis,therapeutic effect,,
Cyclophosphamide,"Toxoplasmosis, Cerebral",side effect,,
Cyclophosphamide,Mitochondrial Myopathies,therapeutic effect,,
Cyclophosphamide,Polymyositis,side effect,,
Cyclophosphamide,"Limb Deformities, Congenital",therapeutic effect,,
Cyclophosphamide,"Vasculitis, Leukocytoclastic, Cutaneous",therapeutic effect,,
Cyclophosphamide,"Ventricular Dysfunction, Right",therapeutic effect,,
Cyclophosphamide,"Diabetes Insipidus, Nephrogenic",therapeutic effect,,
Cyclophosphamide,Systemic Inflammatory Response Syndrome,therapeutic effect,,
Cyclophosphamide,"Carcinoma, Lewis Lung",side effect,,
Cyclophosphamide,"Optic Neuropathy, Ischemic",side effect,,
Cyclophosphamide,"Syncope, Vasovagal",side effect,,
Cyclophosphamide,Thrombophilia,side effect,,
Cyclophosphamide,"Sleep Apnea, Central",therapeutic effect,,
Cyclophosphamide,Hypertensive Encephalopathy,therapeutic effect,,
Cyclophosphamide,Spinocerebellar Ataxias,side effect,,
Cyclophosphamide,Hyperammonemia,therapeutic effect,,
Cyclophosphamide,Severe Acute Respiratory Syndrome,therapeutic effect,,
Cyclophosphamide,Gastrointestinal Stromal Tumors,side effect,,
Cyclophosphamide,"Kidney Diseases, Cystic",therapeutic effect,,
Cyclophosphamide,Nocturia,therapeutic effect,,
Cyclophosphamide,"Urinary Incontinence, Urge",therapeutic effect,,
Cyclophosphamide,Coronary Occlusion,therapeutic effect,,
Cyclophosphamide,"Sinus Arrest, Cardiac",therapeutic effect,,
Cyclophosphamide,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,therapeutic effect,,
Cyclophosphamide,Intervertebral Disc Degeneration,side effect,,
Cyclophosphamide,Latent Tuberculosis,therapeutic effect,,
Cyclophosphamide,Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis,therapeutic effect,,
Cyclophosphamide,Aberrant Crypt Foci,side effect,,
Cycloserine,Arterial Occlusive Diseases,therapeutic effect,,
Cycloserine,Autoimmune Diseases,therapeutic effect,,
Cycloserine,Erythema,therapeutic effect,,
Cycloserine,Motion Sickness,therapeutic effect,,
Cycloserine,Penile Induration,therapeutic effect,,
Cycloserine,"Tachycardia, Paroxysmal",therapeutic effect,,
Cycloserine,Uremia,therapeutic effect,,
Cycloserine,"Amnesia, Anterograde",therapeutic effect,,
Cyclosporine,succinic semialdehyde dehydrogenase deficiency,side effect,,
Cyclosporine,"High serum cholesterol, familial",side effect,,
Cyclosporine,"Abortion, Spontaneous",therapeutic effect,,
Cyclosporine,Altitude Sickness,side effect,,
Cyclosporine,"Anemia, Hemolytic",side effect,,
Cyclosporine,Aneurysm,side effect,,
Cyclosporine,Atrial Flutter,side effect,,
Cyclosporine,Autistic Disorder,side effect,,
Cyclosporine,Behcet Syndrome,side effect,,
Cyclosporine,Berylliosis,side effect,,
Cyclosporine,Bipolar Disorder,side effect,,
Cyclosporine,Urinary Bladder Neck Obstruction,therapeutic effect,,
Cyclosporine,Blepharospasm,side effect,,
Cyclosporine,Bronchial Diseases,therapeutic effect,,
Cyclosporine,Bronchiectasis,side effect,,
Cyclosporine,Bronchiolitis,side effect,,
Cyclosporine,Bronchopulmonary Dysplasia,therapeutic effect,,
Cyclosporine,Carcinoma,side effect,,
Cyclosporine,"Cardiomyopathy, Alcoholic",side effect,,
Cyclosporine,Celiac Disease,therapeutic effect,,
Cyclosporine,Cerebellar Neoplasms,side effect,,
Cyclosporine,Intracranial Aneurysm,side effect,,
Cyclosporine,Chest Pain,side effect,,
Cyclosporine,Chorea,side effect,,
Cyclosporine,Cognition Disorders,side effect,,
Cyclosporine,Cystic Fibrosis,side effect,,
Cyclosporine,"Hearing Loss, Sudden",side effect,,
Cyclosporine,Decompression Sickness,side effect,,
Cyclosporine,"Dermatitis, Contact",side effect,,
Cyclosporine,"Diabetes Mellitus, Experimental",side effect,,
Cyclosporine,Digestive System Diseases,side effect,,
Cyclosporine,Dyspnea,side effect,,
Cyclosporine,Enuresis,side effect,,
Cyclosporine,Epilepsy,side effect,,
Cyclosporine,Erythema Multiforme,therapeutic effect,,
Cyclosporine,Erythromelalgia,side effect,,
Cyclosporine,Gastrointestinal Diseases,therapeutic effect,,
Cyclosporine,"Genital Diseases, Male",side effect,,
Cyclosporine,"Glaucoma, Open-Angle",side effect,,
Cyclosporine,"Glomerulonephritis, IGA",side effect,,
Cyclosporine,Hematologic Diseases,therapeutic effect,,
Cyclosporine,Hemophilia A,side effect,,
Cyclosporine,Hemorrhagic Disorders,side effect,,
Cyclosporine,Hirsutism,therapeutic effect,,
Cyclosporine,"Histiocytosis, Langerhans-Cell",side effect,,
Cyclosporine,Huntington Disease,side effect,,
Cyclosporine,Hypercholesterolemia,therapeutic effect,,
Cyclosporine,Hyperemia,side effect,,
Cyclosporine,Hyperglycemia,therapeutic effect,,
Cyclosporine,Hyperkinesis,side effect,,
Cyclosporine,Hyperlipoproteinemia Type V,side effect,,
Cyclosporine,Disorders of Excessive Somnolence,side effect,,
Cyclosporine,"Hypertension, Pulmonary",side effect,,
Cyclosporine,"Hypertension, Renal",side effect,,
Cyclosporine,"Hypertension, Renovascular",side effect,,
Cyclosporine,Impulse Control Disorders,side effect,,
Cyclosporine,"Infertility, Male",side effect,,
Cyclosporine,Insect Bites and Stings,side effect,,
Cyclosporine,"Obstetric Labor, Premature",therapeutic effect,,
Cyclosporine,Leg Ulcer,side effect,,
Cyclosporine,"Leishmaniasis, Visceral",therapeutic effect,,
Cyclosporine,"Lymphoma, Non-Hodgkin",side effect,,
Cyclosporine,Meningoencephalitis,side effect,,
Cyclosporine,Mycosis Fungoides,therapeutic effect,,
Cyclosporine,Myotonic Dystrophy,side effect,,
Cyclosporine,Myxoma,therapeutic effect,,
Cyclosporine,Nasal Polyps,therapeutic effect,,
Cyclosporine,Neurotic Disorders,therapeutic effect,,
Cyclosporine,"Nystagmus, Pathologic",therapeutic effect,,
Cyclosporine,Obesity,side effect,,
Cyclosporine,Ocular Hypertension,therapeutic effect,,
Cyclosporine,Pain,side effect,,
Cyclosporine,Pancreatitis,side effect,,
Cyclosporine,Papilledema,side effect,,
Cyclosporine,"Pemphigoid, Bullous",side effect,,
Cyclosporine,Pericarditis,therapeutic effect,,
Cyclosporine,Polycythemia,side effect,,
Cyclosporine,"Psychoses, Substance-Induced",therapeutic effect,,
Cyclosporine,Rectal Neoplasms,side effect,,
Cyclosporine,Recurrence,side effect,,
Cyclosporine,"Respiratory Distress Syndrome, Adult",side effect,,
Cyclosporine,Retinal Vein Occlusion,side effect,,
Cyclosporine,Rheumatic Heart Disease,side effect,,
Cyclosporine,"Schizophrenia, Paranoid",side effect,,
Cyclosporine,Schizotypal Personality Disorder,therapeutic effect,,
Cyclosporine,Sick Sinus Syndrome,therapeutic effect,,
Cyclosporine,"Sinus Thrombosis, Intracranial",side effect,,
Cyclosporine,Sleep Deprivation,side effect,,
Cyclosporine,"Stress Disorders, Post-Traumatic",therapeutic effect,,
Cyclosporine,Substance Withdrawal Syndrome,therapeutic effect,,
Cyclosporine,"Tachycardia, Paroxysmal",therapeutic effect,,
Cyclosporine,Urinary Calculi,therapeutic effect,,
Cyclosporine,Varicose Veins,therapeutic effect,,
Cyclosporine,Ventricular Outflow Obstruction,side effect,,
Cyclosporine,Wegener Granulomatosis,therapeutic effect,,
Cyclosporine,Retinal Artery Occlusion,side effect,,
Cyclosporine,"Panniculitis, Lupus Erythematosus",side effect,,
Cyclosporine,"Panniculitis, Peritoneal",side effect,,
Cyclosporine,"Leukemia, Lymphocytic, Chronic, B-Cell",therapeutic effect,,
Cyclosporine,Panuveitis,therapeutic effect,,
Cyclosporine,"Toxoplasmosis, Cerebral",side effect,,
Cyclosporine,Polymyositis,side effect,,
Cyclosporine,"Skin Diseases, Vascular",side effect,,
Cyclosporine,"Keratosis, Seborrheic",side effect,,
Cyclosporine,Exfoliation Syndrome,therapeutic effect,,
Cyclosporine,Systemic Inflammatory Response Syndrome,side effect,,
Cyclosporine,"Carcinoma, Lewis Lung",side effect,,
Cyclosporine,"Optic Neuropathy, Ischemic",therapeutic effect,,
Cyclosporine,MPTP Poisoning,side effect,,
Cyclosporine,Essential Tremor,therapeutic effect,,
Cyclosporine,Parkinsonian Disorders,side effect,,
Cyclosporine,"Renal Insufficiency, Chronic",side effect,,
Cyclosporine,"Kidney Diseases, Cystic",therapeutic effect,,
Cyclosporine,Acute Coronary Syndrome,side effect,,
Cyclosporine,Latent Tuberculosis,therapeutic effect,,
Cyclosporine,Drug Overdose,side effect,,
Cyproheptadine,Rapidly progressive glomerulonephritis with pulmonary hemorrhage,side effect,,
Cyproheptadine,Anaphylaxis,side effect,,
Cyproheptadine,Angina Pectoris,side effect,,
Cyproheptadine,Aortic Aneurysm,side effect,,
Cyproheptadine,Eating Disorders,side effect,,
Cyproheptadine,Atrial Flutter,side effect,,
Cyproheptadine,Autistic Disorder,therapeutic effect,,
Cyproheptadine,Bacterial Infections,therapeutic effect,,
Cyproheptadine,Behcet Syndrome,therapeutic effect,,
Cyproheptadine,Brain Diseases,side effect,,
Cyproheptadine,Breast Diseases,therapeutic effect,,
Cyproheptadine,Bronchitis,side effect,,
Cyproheptadine,Carcinoma,side effect,,
Cyproheptadine,"Cardiomyopathy, Dilated",side effect,,
Cyproheptadine,Carotid Artery Diseases,therapeutic effect,,
Cyproheptadine,Cerebellar Ataxia,side effect,,
Cyproheptadine,Cerebellar Neoplasms,side effect,,
Cyproheptadine,Cerebral Infarction,side effect,,
Cyproheptadine,Chorea,side effect,,
Cyproheptadine,Cleft Palate,therapeutic effect,,
Cyproheptadine,"Diabetes Mellitus, Experimental",side effect,,
Cyproheptadine,"Diabetes Mellitus, Type 2",side effect,,
Cyproheptadine,Dizziness,side effect,,
Cyproheptadine,"Dyskinesia, Drug-Induced",side effect,,
Cyproheptadine,Dyspnea,side effect,,
Cyproheptadine,Ear Neoplasms,side effect,,
Cyproheptadine,Endometriosis,side effect,,
Cyproheptadine,"Epilepsy, Tonic-Clonic",side effect,,
Cyproheptadine,Facial Nerve Diseases,therapeutic effect,,
Cyproheptadine,Fetal Distress,side effect,,
Cyproheptadine,Fibromyalgia,side effect,,
Cyproheptadine,Friedreich Ataxia,side effect,,
Cyproheptadine,Goiter,therapeutic effect,,
Cyproheptadine,Gout,side effect,,
Cyproheptadine,Granuloma,side effect,,
Cyproheptadine,Head and Neck Neoplasms,side effect,,
Cyproheptadine,Herpes Genitalis,side effect,,
Cyproheptadine,Hydrocephalus,side effect,,
Cyproheptadine,Disorders of Excessive Somnolence,side effect,,
Cyproheptadine,Hypolipoproteinemias,side effect,,
Cyproheptadine,Hypopituitarism,side effect,,
Cyproheptadine,"Hypotension, Orthostatic",therapeutic effect,,
Cyproheptadine,"Infertility, Male",therapeutic effect,,
Cyproheptadine,Kidney Diseases,therapeutic effect,,
Cyproheptadine,Lactation Disorders,side effect,,
Cyproheptadine,Melanoma,side effect,,
Cyproheptadine,Mercury Poisoning,therapeutic effect,,
Cyproheptadine,Myoclonus,side effect,,
Cyproheptadine,"Nails, Malformed",side effect,,
Cyproheptadine,Nephrotic Syndrome,therapeutic effect,,
Cyproheptadine,Osteomalacia,side effect,,
Cyproheptadine,Pancreatic Diseases,side effect,,
Cyproheptadine,"Pemphigoid, Bullous",side effect,,
Cyproheptadine,Pulmonary Embolism,therapeutic effect,,
Cyproheptadine,Pulmonary Emphysema,side effect,,
Cyproheptadine,Hyperacusis,side effect,,
Cyproheptadine,Sarcoidosis,side effect,,
Cyproheptadine,"Shock, Septic",side effect,,
Cyproheptadine,Shy-Drager Syndrome,therapeutic effect,,
Cyproheptadine,Sturge-Weber Syndrome,side effect,,
Cyproheptadine,"Tachycardia, Supraventricular",side effect,,
Cyproheptadine,Tuberous Sclerosis,therapeutic effect,,
Cyproheptadine,Weight Loss,side effect,,
Cyproheptadine,Corneal Neovascularization,therapeutic effect,,
Cyproheptadine,Glucose Intolerance,side effect,,
Cyproheptadine,"Diabetes Insipidus, Nephrogenic",side effect,,
Cyproheptadine,Tension-Type Headache,therapeutic effect,,
Cyproheptadine,Endotoxemia,therapeutic effect,,
Cyproheptadine,Thrombophilia,side effect,,
Cyproheptadine,Antithrombin III Deficiency,side effect,,
Cyproheptadine,"Muscular Dystrophy, Duchenne",therapeutic effect,,
Cyproheptadine,Mucositis,therapeutic effect,,
Cyproheptadine,Azotemia,side effect,,
Cyproheptadine,Intervertebral Disc Degeneration,side effect,,
Cyproheptadine,Peritoneal Fibrosis,side effect,,
Cyproheptadine,Drug Overdose,side effect,,
Cysteamine,Amyloidosis,therapeutic effect,,
Cysteamine,Nerve Degeneration,therapeutic effect,,
Cysteamine,Nervous System Diseases,therapeutic effect,,
Cysteamine,Papilledema,therapeutic effect,,
Cysteamine,Paraphilias,therapeutic effect,,
Cysteine,"Leukomalacia, Periventricular",therapeutic effect,,
Cysteine,"Malaria, Falciparum",therapeutic effect,,
Cysteine,Porokeratosis,therapeutic effect,,
Cysteine,"Renal Insufficiency, Chronic",therapeutic effect,,
Cytarabine,succinic semialdehyde dehydrogenase deficiency,side effect,,
Cytarabine,Miyoshi myopathy,side effect,,
Cytarabine,"High serum cholesterol, familial",side effect,,
Cytarabine,Albuminuria,side effect,,
Cytarabine,Altitude Sickness,side effect,,
Cytarabine,"Anemia, Megaloblastic",side effect,,
Cytarabine,"Anemia, Pernicious",therapeutic effect,,
Cytarabine,Aortic Diseases,side effect,,
Cytarabine,"Arrhythmia, Sinus",side effect,,
Cytarabine,Autistic Disorder,side effect,,
Cytarabine,Blepharospasm,side effect,,
Cytarabine,Bone Neoplasms,side effect,,
Cytarabine,Bronchiolitis,therapeutic effect,,
Cytarabine,Carcinoma,side effect,,
Cytarabine,"Carcinoma, Non-Small-Cell Lung",side effect,,
Cytarabine,Carotid Artery Diseases,side effect,,
Cytarabine,Catalepsy,side effect,,
Cytarabine,Cataplexy,therapeutic effect,,
Cytarabine,Cattle Diseases,therapeutic effect,,
Cytarabine,"Ischemic Attack, Transient",therapeutic effect,,
Cytarabine,"Child Development Disorders, Pervasive",therapeutic effect,,
Cytarabine,Chorea,side effect,,
Cytarabine,Coma,side effect,,
Cytarabine,Conjunctivitis,side effect,,
Cytarabine,Croup,side effect,,
Cytarabine,Cystic Fibrosis,side effect,,
Cytarabine,"Hearing Loss, Sudden",side effect,,
Cytarabine,Depressive Disorder,side effect,,
Cytarabine,"Dermatitis, Contact",side effect,,
Cytarabine,"Diabetes Mellitus, Experimental",side effect,,
Cytarabine,Dyspnea,side effect,,
Cytarabine,Enuresis,side effect,,
Cytarabine,Epilepsy,side effect,,
Cytarabine,Facial Neuralgia,side effect,,
Cytarabine,Fatigue,side effect,,
Cytarabine,Fetal Diseases,side effect,,
Cytarabine,Fibromyalgia,therapeutic effect,,
Cytarabine,Galactorrhea,side effect,,
Cytarabine,Gallbladder Diseases,therapeutic effect,,
Cytarabine,Gas Poisoning,side effect,,
Cytarabine,"Glomerulonephritis, IGA",side effect,,
Cytarabine,"Hearing Loss, Bilateral",therapeutic effect,,
Cytarabine,Heart Valve Diseases,side effect,,
Cytarabine,Postpartum Hemorrhage,therapeutic effect,,
Cytarabine,Hemorrhagic Disorders,side effect,,
Cytarabine,"Histiocytosis, Langerhans-Cell",side effect,,
Cytarabine,Hyperaldosteronism,side effect,,
Cytarabine,Hyperinsulinism,side effect,,
Cytarabine,Hyperkinesis,side effect,,
Cytarabine,Disorders of Excessive Somnolence,side effect,,
Cytarabine,"Hypertension, Pulmonary",side effect,,
Cytarabine,"Hypertension, Renal",side effect,,
Cytarabine,"Hypertension, Renovascular",side effect,,
Cytarabine,Hypertrophy,therapeutic effect,,
Cytarabine,Hyphema,side effect,,
Cytarabine,Leg Ulcer,side effect,,
Cytarabine,"Lupus Erythematosus, Discoid",therapeutic effect,,
Cytarabine,"Lupus Erythematosus, Systemic",therapeutic effect,,
Cytarabine,Lymphatic Diseases,side effect,,
Cytarabine,Melanoma,side effect,,
Cytarabine,"Meningitis, Pneumococcal",therapeutic effect,,
Cytarabine,Meningoencephalitis,therapeutic effect,,
Cytarabine,Movement Disorders,therapeutic effect,,
Cytarabine,Myocarditis,therapeutic effect,,
Cytarabine,Nasal Polyps,side effect,,
Cytarabine,Nervous System Diseases,therapeutic effect,,
Cytarabine,Neural Tube Defects,therapeutic effect,,
Cytarabine,Neurasthenia,therapeutic effect,,
Cytarabine,Paraplegia,side effect,,
Cytarabine,"Pemphigoid, Bullous",side effect,,
Cytarabine,Personality Disorders,side effect,,
Cytarabine,Polycythemia,side effect,,
Cytarabine,Pre-Eclampsia,side effect,,
Cytarabine,Precancerous Conditions,side effect,,
Cytarabine,"Psychoses, Alcoholic",side effect,,
Cytarabine,Recurrence,side effect,,
Cytarabine,Reflex Sympathetic Dystrophy,side effect,,
Cytarabine,"Respiratory Distress Syndrome, Adult",side effect,,
Cytarabine,Retinal Vein Occlusion,side effect,,
Cytarabine,Retinoblastoma,side effect,,
Cytarabine,Rhinitis,therapeutic effect,,
Cytarabine,"Shock, Septic",side effect,,
Cytarabine,Sigmoid Neoplasms,side effect,,
Cytarabine,"Sinus Thrombosis, Intracranial",side effect,,
Cytarabine,Sleep Deprivation,side effect,,
Cytarabine,Status Epilepticus,side effect,,
Cytarabine,Stevens-Johnson Syndrome,side effect,,
Cytarabine,Stomach Ulcer,side effect,,
Cytarabine,"Stomatitis, Aphthous",side effect,,
Cytarabine,Tinnitus,side effect,,
Cytarabine,Retinal Artery Occlusion,side effect,,
Cytarabine,Reperfusion Injury,therapeutic effect,,
Cytarabine,"Panniculitis, Peritoneal",side effect,,
Cytarabine,Nasal Obstruction,therapeutic effect,,
Cytarabine,Panuveitis,therapeutic effect,,
Cytarabine,Miosis,therapeutic effect,,
Cytarabine,Peripheral Vascular Diseases,side effect,,
Cytarabine,Panic Disorder,side effect,,
Cytarabine,Antiphospholipid Syndrome,therapeutic effect,,
Cytarabine,"Death, Sudden, Cardiac",therapeutic effect,,
Cytarabine,Embolism and Thrombosis,therapeutic effect,,
Cytarabine,"Toxoplasmosis, Cerebral",side effect,,
Cytarabine,POEMS Syndrome,therapeutic effect,,
Cytarabine,"Epilepsy, Complex Partial",therapeutic effect,,
Cytarabine,"Tachycardia, Ventricular",side effect,,
Cytarabine,Polymyositis,side effect,,
Cytarabine,"Skin Diseases, Vascular",side effect,,
Cytarabine,Porokeratosis,side effect,,
Cytarabine,Pelvic Pain,side effect,,
Cytarabine,"Vasculitis, Leukocytoclastic, Cutaneous",therapeutic effect,,
Cytarabine,Pulmonary Atresia,side effect,,
Cytarabine,Systemic Inflammatory Response Syndrome,side effect,,
Cytarabine,"Optic Neuropathy, Ischemic",side effect,,
Cytarabine,"Syncope, Vasovagal",side effect,,
Cytarabine,"Hepatitis, Autoimmune",side effect,,
Cytarabine,Stereotypic Movement Disorder,side effect,,
Cytarabine,"Sleep Apnea, Central",side effect,,
Cytarabine,Migraine with Aura,therapeutic effect,,
Cytarabine,Hypertensive Encephalopathy,therapeutic effect,,
Cytarabine,Parkinsonian Disorders,side effect,,
Cytarabine,Spinocerebellar Ataxias,side effect,,
Cytarabine,Amaurosis Fugax,side effect,,
Cytarabine,"Pulmonary Disease, Chronic Obstructive",therapeutic effect,,
Cytarabine,Hypoalbuminemia,side effect,,
Cytarabine,Gastrointestinal Stromal Tumors,side effect,,
Cytarabine,"Renal Insufficiency, Chronic",side effect,,
Cytarabine,"Kidney Diseases, Cystic",therapeutic effect,,
Cytarabine,"Urinary Incontinence, Urge",therapeutic effect,,
Cytarabine,Acute Coronary Syndrome,side effect,,
Cytarabine,Coronary Occlusion,therapeutic effect,,
Cytarabine,Histiocytic Sarcoma,side effect,,
Cytarabine,Latent Tuberculosis,therapeutic effect,,
Cytarabine,Aberrant Crypt Foci,therapeutic effect,,
Cytarabine,Drug Overdose,side effect,,
Dacarbazine,Alcohol Withdrawal Delirium,side effect,,
Dacarbazine,"Arrhythmias, Cardiac",side effect,,
Dacarbazine,Arthritis,side effect,,
Dacarbazine,Autistic Disorder,side effect,,
Dacarbazine,"Bone Diseases, Endocrine",side effect,,
Dacarbazine,"Brain Damage, Chronic",side effect,,
Dacarbazine,Brain Diseases,side effect,,
Dacarbazine,Breast Neoplasms,side effect,,
Dacarbazine,Bronchiectasis,side effect,,
Dacarbazine,Celiac Disease,therapeutic effect,,
Dacarbazine,Central Nervous System Diseases,side effect,,
Dacarbazine,Cholangitis,therapeutic effect,,
Dacarbazine,Cleft Lip,side effect,,
Dacarbazine,Coma,side effect,,
Dacarbazine,Coxsackievirus Infections,side effect,,
Dacarbazine,"Dyskinesia, Drug-Induced",side effect,,
Dacarbazine,Ear Neoplasms,side effect,,
Dacarbazine,Eclampsia,side effect,,
Dacarbazine,Epilepsy,side effect,,
Dacarbazine,"Epilepsy, Absence",side effect,,
Dacarbazine,Erythromelalgia,side effect,,
Dacarbazine,Eyelid Neoplasms,side effect,,
Dacarbazine,"Glaucoma, Open-Angle",side effect,,
Dacarbazine,Glomerulonephritis,side effect,,
Dacarbazine,"Glomerulonephritis, IGA",side effect,,
Dacarbazine,Head and Neck Neoplasms,side effect,,
Dacarbazine,Heart Failure,therapeutic effect,,
Dacarbazine,Herpes Genitalis,side effect,,
Dacarbazine,Hypertrophy,therapeutic effect,,
Dacarbazine,Infection,side effect,,
Dacarbazine,"Infertility, Male",side effect,,
Dacarbazine,Migraine Disorders,side effect,,
Dacarbazine,Mixed Connective Tissue Disease,therapeutic effect,,
Dacarbazine,Muscular Diseases,side effect,,
Dacarbazine,Nervous System Diseases,therapeutic effect,,
Dacarbazine,Neurotic Disorders,side effect,,
Dacarbazine,Ophthalmoplegia,therapeutic effect,,
Dacarbazine,Pancreatitis,side effect,,
Dacarbazine,Paraphilias,therapeutic effect,,
Dacarbazine,Paraplegia,side effect,,
Dacarbazine,Polycythemia,side effect,,
Dacarbazine,Pseudohypoparathyroidism,therapeutic effect,,
Dacarbazine,Rhinitis,therapeutic effect,,
Dacarbazine,"Schizophrenia, Childhood",side effect,,
Dacarbazine,"Schizophrenia, Disorganized",therapeutic effect,,
Dacarbazine,Sleep Deprivation,side effect,,
Dacarbazine,Spinal Cord Compression,therapeutic effect,,
Dacarbazine,Stomach Ulcer,side effect,,
Dacarbazine,"Tachycardia, Supraventricular",side effect,,
Dacarbazine,Tongue Neoplasms,therapeutic effect,,
Dacarbazine,Urinary Calculi,side effect,,
Dacarbazine,Inflammatory Bowel Diseases,side effect,,
Dacarbazine,"Panniculitis, Peritoneal",side effect,,
Dacarbazine,"Blood Loss, Surgical",therapeutic effect,,
Dacarbazine,"Toxoplasmosis, Cerebral",side effect,,
Dacarbazine,"Liver Failure, Acute",side effect,,
Dacarbazine,Polymyositis,side effect,,
Dacarbazine,"Neurofibroma, Plexiform",side effect,,
Dacarbazine,Alcohol-Related Disorders,therapeutic effect,,
Dacarbazine,MPTP Poisoning,side effect,,
Dacarbazine,Alcohol-Induced Disorders,therapeutic effect,,
Dacarbazine,Congenital Hyperinsulinism,side effect,,
Dacarbazine,Mucositis,side effect,,
Dacarbazine,Hypoalphalipoproteinemias,side effect,,
Dacarbazine,Precursor Cell Lymphoblastic Leukemia-Lymphoma,side effect,,
Dacarbazine,Drug Overdose,side effect,,
Dactinomycin,Altitude Sickness,side effect,,
Dactinomycin,"Anemia, Hemolytic, Autoimmune",side effect,,
Dactinomycin,"Anemia, Pernicious",side effect,,
Dactinomycin,Angina Pectoris,side effect,,
Dactinomycin,Atrial Flutter,side effect,,
Dactinomycin,Blepharospasm,side effect,,
Dactinomycin,Bronchiolitis,side effect,,
Dactinomycin,Chorea,side effect,,
Dactinomycin,Cystic Fibrosis,side effect,,
Dactinomycin,"Hearing Loss, Sudden",side effect,,
Dactinomycin,"Diabetes Mellitus, Type 2",side effect,,
Dactinomycin,Epilepsy,side effect,,
Dactinomycin,"Goiter, Nodular",side effect,,
Dactinomycin,Hemorrhagic Disorders,side effect,,
Dactinomycin,Herpes Genitalis,side effect,,
Dactinomycin,"Histiocytosis, Langerhans-Cell",side effect,,
Dactinomycin,Huntington Disease,side effect,,
Dactinomycin,Disorders of Excessive Somnolence,side effect,,
Dactinomycin,Hypothermia,therapeutic effect,,
Dactinomycin,"Meningitis, Pneumococcal",side effect,,
Dactinomycin,Mixed Connective Tissue Disease,therapeutic effect,,
Dactinomycin,Muscle Rigidity,side effect,,
Dactinomycin,Muscular Atrophy,side effect,,
Dactinomycin,Myoclonus,side effect,,
Dactinomycin,Myoma,side effect,,
Dactinomycin,Ocular Hypertension,therapeutic effect,,
Dactinomycin,Oligomenorrhea,side effect,,
Dactinomycin,"Pain, Intractable",side effect,,
Dactinomycin,Papilledema,therapeutic effect,,
Dactinomycin,Paraphilias,therapeutic effect,,
Dactinomycin,Respiratory Insufficiency,side effect,,
Dactinomycin,Retinal Vein Occlusion,side effect,,
Dactinomycin,Retinoblastoma,side effect,,
Dactinomycin,Rheumatic Heart Disease,side effect,,
Dactinomycin,Rhinitis,therapeutic effect,,
Dactinomycin,Schizotypal Personality Disorder,therapeutic effect,,
Dactinomycin,"Stomatitis, Aphthous",side effect,,
Dactinomycin,Tongue Neoplasms,side effect,,
Dactinomycin,Uveomeningoencephalitic Syndrome,side effect,,
Dactinomycin,Ventricular Outflow Obstruction,side effect,,
Dactinomycin,Vomiting,side effect,,
Dactinomycin,Inflammatory Bowel Diseases,side effect,,
Dactinomycin,"Leukemia, Promyelocytic, Acute",therapeutic effect,,
Dactinomycin,Ocular Hypotension,therapeutic effect,,
Dactinomycin,Panuveitis,therapeutic effect,,
Dactinomycin,Miosis,side effect,,
Dactinomycin,Peripheral Vascular Diseases,side effect,,
